,Title,GPU,RAM,Processor,Monitor,System,Prices
3456,HP Pavilion 15-cs3001nw (8RQ05EA),NVIDIA GeForce MX250,8 GB,Intel Core i5-1035G1,"15.6""",Windows 10 Home,3099.0
3486,HP Pavilion 15-cs3055nw (1N8F3EA),NVIDIA GeForce MX250,8 GB,Intel Core i5-1035G1,"15.6""",Windows 10 Home,3567.23
3647,HP Pavilion Gaming 15-dk1056nw,NVIDIA GeForce RTX 2060 Max-Q,8 GB,Intel Core i5-10300H,"15.6""",Windows 10 Home,4518.15
3648,HP Pavilion Gaming 15-dk1056nw (364D8EA),NVIDIA GeForce RTX 2060 Max-Q,8 GB,Intel Core i5-10300H,"15.6""",Windows 10 Home,4199.0
3668,HP Pavilion Gaming 15-ec0045nw (155G0EA),NVIDIA GeForce GTX 1650,16 GB,AMD Ryzen 5 3550H,"15.6""",Windows 10 Home,3669.18
6214,MSI Prestige 14 A10SC-215PL,NVIDIA GeForce GTX 1650 Max-Q,16 GB,Intel Core i5-10210U,"14""",Windows 10 Home,4599.0
6219,MSI Stealth 15M A11SDK-004PL,NVIDIA GeForce GTX 1660 Ti Max-Q,16 GB,Intel Core i7-1185G7,"15.6""",Windows 10 Home,5405.94
6220,MSI Stealth 15M A11SDK-005PL,NVIDIA GeForce GTX 1660 Ti Max-Q,16 GB,Intel Core i7-1185G7,"15.6""",Windows 10 Home,5351.34
