,Title,Monitor,Processor,RAM,Dysk,GPU,System,Prices
113,ASUS ROG Zephyrus G14 GA401QM-K2023T WQHD Ryzen 9 5900HS,"14"" (2560 x 1440)",AMD Ryzen™ 9 5900HS,32 GB DDR4,"M.2 PCIe , NVMe , 1 TB",NVIDIA GeForce RTX 3060 6 GB GDDR6,Windows 10 Home PL,9199
114,ASUS ROG Zephyrus M15 GU502LW-AZ057 FHD i7-10750H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i7-10750H,16 GB DDR4,"M.2 PCIe , NVMe , 1 TB",NVIDIA GeForce RTX 2070 Max-Q 8 GB GDDR6,Brak,6499
115,ASUS ROG Zephyrus M15 GU502LW-AZ057T FHD i7-10750H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i7-10750H,16 GB DDR4,"M.2 PCIe , NVMe , 1 TB",NVIDIA GeForce RTX 2070 Max-Q 8 GB GDDR6,Windows 10 Home PL,6999
116,ASUS TUF Gaming A15 FA506IV-AL038T FHD Ryzen 9 4900H,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 9 4900H,16 GB DDR4,"M.2 PCIe , NVMe , 1 TB",NVIDIA GeForce RTX 2060 6 GB GDDR6,Windows 10 Home PL,5599
117,ASUS TUF Gaming A17 FA706IU-H7006T FHD Ryzen 7 4800H,"17.3"" (1920 x 1080 (Full HD))",AMD Ryzen™ 7 4800H,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce GTX 1660Ti 6 GB GDDR6,Windows 10 Home PL,5199
118,ASUS TUF Gaming F15 FX506IH-HN190T FHD Ryzen 5 4600H,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 4600H,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce GTX 1650 4 GB GDDR6,Windows 10 Home PL,3799
119,ASUS TUF Gaming F15 FX506LI-HN012T FHD i5-10300H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10300H,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA Geforce GTX 1650 Ti 4 GB GDDR6,Windows 10 Home PL,3999
120,ASUS TUF Gaming FX505DT-AL087T Ryzen 5 3550H,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 3550H,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce GTX 1650 4GB GDDR5,Windows 10 Home PL,3449
121,ASUS TUF Gaming FX505DV-AL004T FHD Ryzen 7 3750H,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 7 3750H,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce RTX 2060 6 GB GDDR6,Windows 10 Home PL,4599
122,ASUS TUF Gaming FX705DT-H7113T FHD Ryzen 7 3750H,"17.3"" (1920 x 1080 (Full HD))",AMD Ryzen™ 7 3750H,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce GTX 1650 4GB GDDR5,Windows 10 Home PL,4499
123,ASUS TUF Gaming FX705DT-H7116T Ryzen 5 3550H,"17.3"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 3550H,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce GTX 1650 4GB GDDR5,Windows 10 Home PL,3699
124,ASUS Tuf Dash F15 FX516PM-HN130T FHD i7-11370H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i7-11370H,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce RTX 3060 6 GB GDDR6,Windows 10 Home PL,4999
125,ASUS VivoBook 14 F413DA-EK051T FHD Ryzen 3 3250U,"14"" (1920 x 1080 (Full HD))",AMD Ryzen 3 3250U,8 GB DDR4,"M.2 PCIe , NVMe , 256 GB",AMD Radeon,Windows 10 Home (w wersji S),2199
126,ASUS VivoBook 14 F413DA-EK286T FHD Ryzen 3 3250U,"14"" (1920 x 1080 (Full HD))",AMD Ryzen 3 3250U,8 GB DDR4,"M.2 PCIe , NVMe , 256 GB",AMD Radeon,Windows 10 Home (w wersji S),2199
127,ASUS VivoBook 14 F413JA-EB507T FHD i5-1035G1,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1035G1,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel UHD,Windows 10 Home PL,2399
128,ASUS VivoBook 14 X412DA-EK644AT FHD Ryzen 3 3200U,"14"" (1920 x 1080 (Full HD))",AMD Ryzen™ 3 3200U,4 GB DDR4,"M.2 PCIe , NVMe , 256 GB",AMD Radeon Vega 3,Windows 10 Home (w wersji S),1949
129,ASUS VivoBook 14 X412DA-EK645AT FHD Ryzen 3 3200U,"14"" (1920 x 1080 (Full HD))",AMD Ryzen™ 3 3200U,4 GB DDR4,"M.2 PCIe , NVMe , 256 GB",AMD Radeon Vega 3,Windows 10 Home (w wersji S),2099
130,ASUS VivoBook 15 F512JA-BQ684 FHD i7-1065G7,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i7-1065G7,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel Iris Plus,Brak,3599
131,ASUS VivoBook 17 M712DA-AU175T FHD Athlon Silver 3050U8GB,"17.3"" (1920 x 1080 (Full HD))",AMD Athlon™ Silver 3050U,8 GB DDR4,"M.2 PCIe , NVMe , 256 GB",AMD Radeon,Windows 10 Home PL,2299
132,ASUS VivoBook Pro 15 N580GD-E4433T i5-8300H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-8300H,8 GB DDR4,"M.2 Sata , 256 GB",NVIDIA GeForce GTX 1050 4GB GDDR5,Windows 10 Home PL,2697
133,ASUS VivoBook S14 S433EA-EB027T FHD i5-1135G7,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1135G7,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel Iris Xe,Windows 10 Home PL,3699
134,ASUS VivoBook S14 S433FA-EB750T FHD i5-10210U,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10210U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel UHD,Windows 10 Home PL,3599
135,ASUS VivoBook S14 S433JQ-EB163T FHD i5-1035G1,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1035G1,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce MX350 2GB GDDR5,Windows 10 Home PL,3549
136,ASUS VivoBook S15 S533JQ-BQ072T FHD i5-1035G1,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1035G1,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce MX350 2GB GDDR5,Windows 10 Home PL,3599
137,ASUS ZenBook 13 UX325EA-AH032T FHD i5-1135G7,"13.3"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1135G7,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel Iris Xe,Windows 10 Home PL,4299
