,Title,GPU,RAM,Processor,Monitor,System,Prices
1645,Dell Vostro 3500 (N3003VN3500EMEA01_2105),NVIDIA GeForce MX330,8 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3399.0
1646,Dell Vostro 3500 (N3003VN3500EMEA01_2105),NVIDIA GeForce MX330,8 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3463.04
1647,Dell Vostro 3500 (N3004VN3500EMEA01_2105),Brak,8 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3199.0
1648,Dell Vostro 3500 (N3006VN3500EMEA01_2105),Brak,8 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3586.8
1649,Dell Vostro 3500 (N3006VN3500EMEA01_2105),Brak,8 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3253.6
1650,Dell Vostro 3500 (N3007VN3500EMEA01_2105),Brak,8 GB,Intel Core i7-1165G7,"15.6""",Windows 10 Pro,3739.08
1651,Dell Vostro 3500 (N3007VN3500EMEA01_2105),Brak,8 GB,Intel Core i7-1165G7,"15.6""",Windows 10 Pro,3692.8
1652,Dell Vostro 3500 (N3008VN3500EMEA01_2105),NVIDIA GeForce MX330,8 GB,Intel Core i7-1165G7,"15.6""",Windows 10 Pro,3921.06
1653,Dell Vostro 3500 (N5001VN3500EMEA01_2105),Brak,16 GB,Intel Core i7-1165G7,"15.6""",Windows 10 Pro,4066.64
1654,Dell Vostro 3500 (N5001VN3500EMEA01_2105),Brak,16 GB,Intel Core i7-1165G7,"15.6""",Windows 10 Pro,4505.73
1655,Dell Vostro 3500 (N6501VN3500EMEA01_2201),Brak,4 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Pro,2399.0
1656,Dell Vostro 3500 (N6502VN3500EMEA01_2201),Brak,4 GB,Intel Core i3-1115G4,"15.6""",Windows 10 Pro,2457.36
1657,Dell Vostro 3500 (N6502VN3500EMEA01_2201),Brak,4 GB,Intel Core i3-1115G4,"15.6""",Windows 10 Pro,2794.05
1658,Dell Vostro 3501 (2_335782_20201221101205),Brak,4 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Pro,3058.49
1659,Dell Vostro 3501 (N6501VN3501EMEA01_2105_256),Brak,4 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Pro,2421.39
1660,Dell Vostro 3501 (N6502VN3501EMEA01_2105),Brak,4 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Pro,2899.0
1661,Dell Vostro 3501 (N6503VN3501EMEA01_2105),Brak,8 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Pro,2577.0
1662,Dell Vostro 3501 (N6503VN3501EMEA01_2105),Brak,8 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Pro,2847.45
1663,Dell Vostro 3501 (N6503VN3501EMEA01_2105) 12 GB RAM,Brak,12 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Pro,2870.64
1664,Dell Vostro 3501 (N6503VN3501EMEA01_2105) 12 GB RAM,Brak,12 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Pro,3299.93
1665,Dell Vostro 3501 (N6503VN3501EMEA01_2105) 12 GB RAM,Brak,12 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Pro,3064.53
1666,Dell Vostro 3501 (N6503VN3501EMEA01_2105) 16 GB RAM,Brak,16 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Pro,3353.96
1667,Dell Vostro 3501 (N6503VN3501EMEA01_2105) 16 GB RAM,Brak,16 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Pro,2924.67
1668,Dell Vostro 3501 (N6503VN3501EMEA01_2105) 16 GB RAM,Brak,16 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Pro,3118.56
1669,Dell Vostro 3501 (N6503VN3501EMEA01_2105) 8 GB RAM,Brak,8 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Pro,3175.33
1670,Dell Vostro 3501 (N6503VN3501EMEA01_2105) 8 GB RAM,Brak,8 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Pro,2939.94
1671,Dell Vostro 3501 (N6504VN3501EMEA01_2105),Brak,8 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Pro,2955.79
